OBJECTID_1,ZIPCODE1
0,00000
1,20601
2,20602
3,20603
4,20606
5,20607
6,20608
7,20609
8,20611
9,20612
10,20613
11,20615
12,20616
13,20617
14,20618
15,20619
16,20620
17,20621
18,20622
19,20623
20,20624
21,20625
22,20626
23,20628
24,20629
25,20630
26,20632
27,20634
28,20636
29,20637
30,20639
31,20640
32,20645
33,20646
34,20650
35,20653
36,20657
37,20658
38,20659
39,20660
40,20662
41,20664
42,20667
43,20670
44,20674
45,20675
46,20676
47,20677
48,20678
49,20680
50,20684
51,20685
52,20686
53,20687
54,20688
55,20689
56,20690
57,20692
58,20693
59,20695
60,20701
61,20705
62,20706
63,20707
64,20708
65,20710
66,20711
67,20712
68,20714
69,20715
70,20716
71,20720
72,20721
73,20722
74,20723
75,20724
76,20732
77,20733
78,20735
79,20736
80,20737
81,20740
82,20742
83,20743
84,20744
85,20745
86,20746
87,20747
88,20748
89,20751
90,20754
91,20755
92,20758
93,20759
94,20762
95,20763
96,20764
97,20765
98,20769
99,20770
100,20772
101,20774
102,20776
103,20777
104,20778
105,20779
106,20781
107,20782
108,20783
109,20784
110,20785
111,20794
112,20812
113,20814
114,20815
115,20816
116,20817
117,20818
118,20832
119,20833
120,20837
121,20838
122,20839
123,20841
124,20842
125,20850
126,20851
127,20852
128,20853
129,20854
130,20855
131,20860
132,20861
133,20862
134,20866
135,20868
136,20871
137,20872
138,20874
139,20876
140,20877
141,20878
142,20879
143,20880
144,20882
145,20886
146,20895
147,20896
148,20899
149,20901
150,20902
151,20903
152,20904
153,20905
154,20906
155,20910
156,20912
157,21001
158,21005
159,21009
160,21010
161,21012
162,21013
163,21014
164,21015
165,21017
166,21028
167,21029
168,21030
169,21031
170,21032
171,21034
172,21035
173,21036
174,21037
175,21040
176,21042
177,21043
178,21044
179,21045
180,21046
181,21047
182,21048
183,21050
184,21051
185,21052
186,21053
187,21054
188,21056
189,21057
190,21060
191,21061
192,21071
193,21074
194,21075
195,21076
196,21077
197,21078
198,21082
199,21084
200,21085
201,21087
202,21090
203,21093
204,21102
205,21104
206,21105
207,21108
208,21111
209,21113
210,21114
211,21117
212,21120
213,21122
214,21128
215,21130
216,21131
217,21132
218,21133
219,21136
220,21140
221,21144
222,21146
223,21152
224,21153
225,21154
226,21155
227,21156
228,21157
229,21158
230,21160
231,21161
232,21162
233,21163
234,21201
235,21202
236,21204
237,21205
238,21206
239,21207
240,21208
241,21209
242,21210
243,21211
244,21212
245,21213
246,21214
247,21215
248,21216
249,21217
250,21218
251,21219
252,21220
253,21221
254,21222
255,21223
256,21224
257,21225
258,21226
259,21227
260,21228
261,21229
262,21230
263,21231
264,21234
265,21236
266,21237
267,21239
268,21240
269,21244
270,21250
271,21251
272,21252
273,21286
274,21401
275,21402
276,21403
277,21405
278,21409
279,21502
280,21520
281,21521
282,21522
283,21523
284,21524
285,21529
286,21530
287,21531
288,21532
289,21536
290,21538
291,21539
292,21540
293,21541
294,21542
295,21543
296,21545
297,21550
298,21555
299,21557
300,21561
301,21562
302,21601
303,21607
304,21610
305,21612
306,21613
307,21617
308,21619
309,21620
310,21622
311,21623
312,21624
313,21625
314,21626
315,21627
316,21628
317,21629
318,21631
319,21632
320,21634
321,21635
322,21636
323,21638
324,21639
325,21640
326,21641
327,21643
328,21644
329,21645
330,21647
331,21648
332,21649
333,21650
334,21651
335,21652
336,21653
337,21654
338,21655
339,21657
340,21658
341,21659
342,21660
343,21661
344,21662
345,21663
346,21664
347,21665
348,21666
349,21667
350,21668
351,21669
352,21671
353,21672
354,21673
355,21675
356,21676
357,21677
358,21678
359,21679
360,21701
361,21702
362,21703
363,21704
364,21705
365,21710
366,21711
367,21713
368,21714
369,21716
370,21717
371,21718
372,21719
373,21722
374,21723
375,21727
376,21733
377,21734
378,21737
379,21738
380,21740
381,21742
382,21746
383,21750
384,21754
385,21755
386,21756
387,21757
388,21758
389,21762
390,21766
391,21767
392,21769
393,21770
394,21771
395,21773
396,21774
397,21776
398,21777
399,21778
400,21779
401,21780
402,21781
403,21782
404,21783
405,21784
406,21787
407,21788
408,21790
409,21791
410,21793
411,21794
412,21795
413,21797
414,21798
415,21801
416,21802
417,21804
418,21810
419,21811
420,21813
421,21814
422,21817
423,21821
424,21822
425,21824
426,21826
427,21829
428,21830
429,21835
430,21837
431,21838
432,21840
433,21841
434,21842
435,21849
436,21850
437,21851
438,21853
439,21856
440,21861
441,21862
442,21863
443,21864
444,21865
445,21866
446,21867
447,21869
448,21871
449,21872
450,21874
451,21875
452,21890
453,21901
454,21902
455,21903
456,21904
457,21911
458,21912
459,21913
460,21914
461,21915
462,21916
463,21917
464,21918
465,21919
466,21920
467,21921
468,21930
